City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,quatre cocos,-20.2078,57.7625,25.06,87,100,4.58,MU,1731267496
1,longyearbyen,78.2186,15.6401,-3.09,86,75,0.0,SJ,1731267280
2,udachny,66.4167,112.4,-18.01,98,85,1.93,RU,1731267428
3,adamstown,-25.066,-130.1015,22.06,81,100,6.18,PN,1731267411
4,dingwall,57.5953,-4.4272,6.99,91,2,3.39,GB,1731267501
5,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,1731267415
6,ushuaia,-54.8,-68.3,8.81,71,75,7.72,AR,1731267460
7,rousinov,49.2013,16.8822,2.72,92,100,1.54,CZ,1731267505
8,iqaluit,63.7506,-68.5145,-4.15,68,75,4.63,CA,1731267310
9,howard springs,-12.497,131.047,25.95,95,100,1.59,AU,1731267508
10,boali,4.8005,18.1275,22.34,92,22,0.76,CF,1731267509
11,yellowknife,62.456,-114.3525,-9.71,85,75,3.6,CA,1731267394
12,gisborne,-38.6533,178.0042,19.73,68,90,4.0,NZ,1731267511
13,isafjordur,66.0755,-23.124,2.61,93,100,16.93,IS,1731267512
14,namtsy,62.7161,129.6658,-18.43,99,99,0.37,RU,1731267513
15,thunder bay,48.4001,-89.3168,6.99,100,100,1.03,CA,1731267515
16,yerofey pavlovich,53.9667,121.9667,-18.34,96,31,1.32,RU,1731267516
17,mao,39.8885,4.2658,17.31,77,40,7.2,ES,1731267424
18,punta arenas,-53.15,-70.9167,12.06,35,40,13.89,CL,1731267485
19,stanthorpe,-28.6667,151.95,17.46,99,100,1.19,AU,1731267519
20,invercargill,-46.4,168.35,10.57,68,90,6.26,NZ,1731267521
21,grytviken,-54.2811,-36.5092,0.12,77,42,1.53,GS,1731267523
22,qaqortoq,60.7167,-46.0333,-2.31,86,100,3.99,GL,1731267438
23,conde,-7.2597,-34.9075,28.7,54,40,5.14,BR,1731267525
24,ta`u,-14.2336,-169.5144,27.19,82,99,7.97,AS,1731267526
25,taltal,-25.4,-70.4833,19.52,72,68,3.43,CL,1731267020
26,bilibino,68.0546,166.4372,-17.84,98,100,0.45,RU,1731267528
27,mahibadhoo,3.7833,72.9667,27.09,79,23,3.33,MV,1731267530
28,port-aux-francais,-49.35,70.2167,4.42,84,58,9.8,TF,1731267403
29,vadso,70.0744,29.7487,4.09,87,100,3.6,NO,1731267375
30,waitangi,-43.9535,-176.5597,14.34,97,100,4.02,NZ,1731267533
31,hawaiian paradise park,19.5933,-154.9731,25.5,84,100,2.06,US,1731267534
32,newport,51.5877,-2.9984,13.58,94,17,2.42,GB,1731267535
33,shubarshi,48.5872,57.1869,1.34,89,100,4.52,KZ,1731267536
34,tazovsky,67.4667,78.7,-10.68,92,100,7.62,RU,1731267538
35,al jawf,29.5,38.75,22.11,36,0,3.65,SA,1731267539
36,klyuchi,52.2667,79.1667,0.14,92,100,7.92,RU,1731267540
37,luderitz,-26.6481,15.1594,16.38,72,0,8.76,,1731267541
38,katsuren-haebaru,26.3369,127.8719,24.49,100,20,2.06,JP,1731267542
39,blackmans bay,-43.0167,147.3167,6.96,90,3,0.45,AU,1731267543
40,kuala tungkal,-0.8167,103.4667,24.52,93,98,2.18,ID,1731267544
41,tshabong,-26.05,22.45,25.7,16,92,6.37,BW,1731267545
42,atafu village,-8.5421,-172.5159,28.44,69,73,4.99,TK,1731267547
43,hadibu,12.65,54.0333,25.99,78,67,4.46,YE,1731267548
44,papatowai,-46.5619,169.4708,8.52,69,94,7.39,NZ,1731267549
45,hermanus,-34.4187,19.2345,13.78,79,100,4.98,ZA,1731267550
46,tofol,5.3248,163.0078,28.85,77,99,8.96,FM,1731267551
47,santa terezinha,-29.9002,-50.0904,20.91,71,0,9.17,BR,1731267552
48,chatra,24.2167,84.8667,19.02,62,0,1.55,IN,1731267554
49,selfoss,63.9331,-20.9971,6.14,75,100,10.8,IS,1731267555
50,naryn,41.4287,75.9911,-4.82,44,74,3.77,KG,1731267556
51,ulsteinvik,62.3432,5.8487,6.07,72,99,2.99,NO,1731267557
52,gembu,6.7,11.2667,17.02,71,41,1.56,NG,1731267559
53,palapag,12.5458,125.1147,24.25,96,100,1.6,PH,1731267560
54,st. john's,47.5649,-52.7093,3.32,58,20,13.89,CA,1731267562
55,ola,59.5833,151.2833,-10.68,65,100,7.26,RU,1731267563
56,avarua,-21.2078,-159.775,24.03,64,40,5.14,CK,1731267564
